"Timestamp","StudentUniqueId","FirstName","LastSurname","Preferred contact method","Best time to contact","Contact notes"
"2020-08-21 21:05:56.117571+00","190966","Michelle","Trejo","Phone","After work hours","Works nights"
"2020-08-21 21:05:56.117571+00","192300","George","Wooten","Email","After work hours","Speak loudly"
"2020-08-21 21:05:56.117571+00","192304","Ny'esha","Batiste","Email","Weeknights between 6PM and 9PM","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","195729","Aaron","Morales","Phone","After work hours","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","195778","Aaron","Ott","Phone","During school hours","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","195846","James","Dillard","Phone","Weeknights between 6PM and 9PM","Phone has issues"
"2020-08-21 21:05:56.117571+00","196240","Richard","Gomez","Email","Weeknights between 6PM and 9PM","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","196696","Timothy","Stewart","SMS","During school hours","Phone has issues"
"2020-08-21 21:05:56.117571+00","197093","Patricia","Keefe","Email","During school hours","Phone has issues"
"2020-08-21 21:05:56.117571+00","197569","Jason","Jennings","SMS","Weeknights between 6PM and 9PM","Phone has issues"
"2020-08-21 21:05:56.117571+00","197736","Dora","Keefe","Email","After work hours","Phone has issues"
"2020-08-21 21:05:56.117571+00","197854","Azania","Kenny","SMS","After dinner","Phone has issues"
"2020-08-21 21:05:56.117571+00","197996","Camaron","Medrano","Email","After dinner","Speak loudly"
"2020-08-21 21:05:56.117571+00","198014","Kelley","Lopez","Phone","After dinner","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","198143","Ira","Hatten","Phone","After work hours","Speak loudly"
"2020-08-21 21:05:56.117571+00","198158","Tracy","Halcomb","SMS","Weeknights between 6PM and 9PM","Works nights"
"2020-08-21 21:05:56.117571+00","198217","Cody","Funderburke","Phone","After dinner","Phone has issues"
"2020-08-21 21:05:56.117571+00","198219","Christopher","Alonso","Phone","After dinner","Works nights"
"2020-08-21 21:05:56.117571+00","198260","Marisol","Mendoza","SMS","After work hours","Phone has issues"
"2020-08-21 21:05:56.117571+00","198338","Jose","Tran","Email","During school hours","Works nights"
"2020-08-21 21:05:56.117571+00","198362","Juana","Omalley","Phone","After work hours","Works nights"
"2020-08-21 21:05:56.117571+00","198387","Terry","Watts","SMS","Weeknights between 6PM and 9PM","Speak loudly"
"2020-08-21 21:05:56.117571+00","198447","Seth","Mckillip","Email","After work hours","Works nights"
"2020-08-21 21:05:56.117571+00","198458","Christina","Lainhart","Email","After work hours","Phone has issues"
"2020-08-21 21:05:56.117571+00","198520","Michael","Flores","Phone","During school hours","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","198522","Deanne","Haight","SMS","Weeknights between 6PM and 9PM","Speak loudly"
"2020-08-21 21:05:56.117571+00","198524","Sirroderick","Rockwell","Phone","After dinner","Phone has issues"
"2020-08-21 21:05:56.117571+00","198556","Casey","Weir","SMS","After work hours","Works nights"
"2020-08-21 21:05:56.117571+00","198559","Justin","Mccray","Phone","After work hours","Speak loudly"
"2020-08-21 21:05:56.117571+00","198710","Jessica","Dangelo","SMS","Weeknights between 6PM and 9PM","Phone has issues"
"2020-08-21 21:05:56.117571+00","198921","Daneska","Rocha","SMS","After dinner","Works nights"
"2020-08-21 21:05:56.117571+00","199110","Lakechia","Parchman","SMS","After work hours","Speak loudly"
"2020-08-21 21:05:56.117571+00","199174","Angeel","Chacon","Phone","Weeknights between 6PM and 9PM","Speak loudly"
"2020-08-21 21:05:56.117571+00","199190","Rebecca","Valdez","SMS","During school hours","Phone has issues"
"2020-08-21 21:05:56.117571+00","199211","Jeremiah","Scott","Phone","After dinner","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","199327","Albert","Saldana","Phone","After work hours","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","199464","Paul","Ates","Phone","After dinner","Phone has issues"
"2020-08-21 21:05:56.117571+00","199976","Bridgette","Dangelo","Phone","During school hours","Phone has issues"
"2020-08-21 21:05:56.117571+00","200013","Jennifer","Wentz","Email","After work hours","Phone has issues"
"2020-08-21 21:05:56.117571+00","200151","Rebecca","Jude","SMS","After dinner","Speak loudly"
"2020-08-21 21:05:56.117571+00","200200","Graciela","Simpson","Email","After dinner","Works nights"
