"Timestamp","StudentUniqueId","FirstName","LastSurname","Internet Access Type","Has School Email Account","Has School Student Account"
"2020-08-21 20:59:14.284364+00","190966","Michelle","Trejo","School provided hot-spot","No","Yes"
"2020-08-21 20:59:14.284364+00","192300","George","Wooten","School provided hot-spot","Yes","No"
"2020-08-21 20:59:14.284364+00","192304","Ny'esha","Batiste","High Speed Internet","No","No"
"2020-08-21 20:59:14.284364+00","195729","Aaron","Morales","School provided hot-spot","Yes","No"
"2020-08-21 20:59:14.284364+00","195778","Aaron","Ott","School provided hot-spot","No","No"
"2020-08-21 20:59:14.284364+00","195846","James","Dillard","High Speed Internet","No","Yes"
"2020-08-21 20:59:14.284364+00","196240","Richard","Gomez","No Internet","Yes","No"
"2020-08-21 20:59:14.284364+00","196696","Timothy","Stewart","School provided hot-spot","Yes","No"
"2020-08-21 20:59:14.284364+00","197093","Patricia","Keefe","No Internet","No","No"
"2020-08-21 20:59:14.284364+00","197569","Jason","Jennings","High Speed Internet","Yes","Yes"
"2020-08-21 20:59:14.284364+00","197736","Dora","Keefe","School provided hot-spot","Yes","Yes"
"2020-08-21 20:59:14.284364+00","197854","Azania","Kenny","School provided hot-spot","No","Yes"
"2020-08-21 20:59:14.284364+00","197996","Camaron","Medrano","No Internet","No","No"
"2020-08-21 20:59:14.284364+00","198014","Kelley","Lopez","School provided hot-spot","No","No"
"2020-08-21 20:59:14.284364+00","198143","Ira","Hatten","No Internet","Yes","Yes"
"2020-08-21 20:59:14.284364+00","198158","Tracy","Halcomb","High Speed Internet","Yes","Yes"
"2020-08-21 20:59:14.284364+00","198217","Cody","Funderburke","No Internet","Yes","No"
"2020-08-21 20:59:14.284364+00","198219","Christopher","Alonso","No Internet","Yes","Yes"
"2020-08-21 20:59:14.284364+00","198260","Marisol","Mendoza","High Speed Internet","No","No"
"2020-08-21 20:59:14.284364+00","198338","Jose","Tran","High Speed Internet","Yes","Yes"
"2020-08-21 20:59:14.284364+00","198362","Juana","Omalley","School provided hot-spot","No","Yes"
"2020-08-21 20:59:14.284364+00","198387","Terry","Watts","No Internet","No","No"
"2020-08-21 20:59:14.284364+00","198447","Seth","Mckillip","No Internet","No","No"
"2020-08-21 20:59:14.284364+00","198458","Christina","Lainhart","No Internet","No","Yes"
"2020-08-21 20:59:14.284364+00","198520","Michael","Flores","High Speed Internet","No","Yes"
"2020-08-21 20:59:14.284364+00","198522","Deanne","Haight","School provided hot-spot","No","Yes"
"2020-08-21 20:59:14.284364+00","198524","Sirroderick","Rockwell","High Speed Internet","Yes","No"
"2020-08-21 20:59:14.284364+00","198556","Casey","Weir","School provided hot-spot","Yes","No"
"2020-08-21 20:59:14.284364+00","198559","Justin","Mccray","School provided hot-spot","No","Yes"
"2020-08-21 20:59:14.284364+00","198710","Jessica","Dangelo","School provided hot-spot","Yes","No"
"2020-08-21 20:59:14.284364+00","198921","Daneska","Rocha","High Speed Internet","No","No"
"2020-08-21 20:59:14.284364+00","199110","Lakechia","Parchman","High Speed Internet","Yes","Yes"
"2020-08-21 20:59:14.284364+00","199174","Angeel","Chacon","School provided hot-spot","No","No"
"2020-08-21 20:59:14.284364+00","199190","Rebecca","Valdez","No Internet","No","No"
"2020-08-21 20:59:14.284364+00","199211","Jeremiah","Scott","High Speed Internet","No","No"
"2020-08-21 20:59:14.284364+00","199327","Albert","Saldana","School provided hot-spot","No","Yes"
"2020-08-21 20:59:14.284364+00","199464","Paul","Ates","No Internet","No","Yes"
"2020-08-21 20:59:14.284364+00","199976","Bridgette","Dangelo","No Internet","Yes","Yes"
"2020-08-21 20:59:14.284364+00","200013","Jennifer","Wentz","No Internet","No","Yes"
"2020-08-21 20:59:14.284364+00","200151","Rebecca","Jude","School provided hot-spot","No","No"
"2020-08-21 20:59:14.284364+00","200200","Graciela","Simpson","School provided hot-spot","Yes","No"
"2020-08-21 20:59:14.284364+00","200261","Baron","Peri","High Speed Internet","Yes","No"
"2020-08-21 20:59:14.284364+00","200264","Jeanette","Bradford","High Speed Internet","Yes","No"
"2020-08-21 20:59:14.284364+00","200284","Marina","Ferrara","High Speed Internet","Yes","Yes"
"2020-08-21 20:59:14.284364+00","200319","Charlotte","Chapa","School provided hot-spot","Yes","Yes"
"2020-08-21 20:59:14.284364+00","200322","Robin","Wentz","No Internet","No","No"
"2020-08-21 20:59:14.284364+00","200356","Heather","Flanders","No Internet","Yes","Yes"
"2020-08-21 20:59:14.284364+00","200431","Anwar","Hurst","High Speed Internet","No","No"
"2020-08-21 20:59:14.284364+00","200533","Federica","Martins","School provided hot-spot","No","Yes"
"2020-08-21 20:59:14.284364+00","200560","Andrew","Willis","School provided hot-spot","No","Yes"
"2020-08-21 20:59:14.284364+00","200603","Cynthia","Cloutier","School provided hot-spot","Yes","No"
"2020-08-21 20:59:14.284364+00","200610","Marvin","Dodd","No Internet","Yes","Yes"
"2020-08-21 20:59:14.284364+00","200690","Jorge","Hicks","High Speed Internet","No","Yes"
