Student Name,1. High Speed Internet,2. Provided HotSpot,3. Home Dedicatd Computer,4. Home Shared Computer,5. School Computer
Byron Keith Wilkerson,Yes,No,Yes,No,No
Annaliese Morehall,Yes,No,No,Yes,No
Malory Lishmund,Yes,No,No,Yes,No
Bryn Martijn,No,Yes,No,No,Yes
Tomi Rentoll,No,No,Yes,Yes,Yes
Korella Beaven,Yes,No,No,No,No
Haroun Dibble,Yes,Yes,No,No,Yes
Phaidra Pirozzi,Yes,No,No,Yes,Yes
Joellen Lorrain,No,Yes,Yes,No,No
Kippy Thorbon,Yes,No,No,No,Yes
Devonne Schroeder,Yes,No,Yes,No,No
Giulia Valenta,No,No,No,No,No
Fonsie Hansill,Yes,No,Yes,Yes,No
Nicholas Astman,Yes,Yes,Yes,Yes,No
Dougie Hambly,Yes,Yes,Yes,Yes,Yes
Vernen Stearns,No,Yes,Yes,No,Yes
Lauren Shildrake,No,Yes,Yes,No,Yes
Chan Graal,No,No,Yes,No,Yes
Alameda Becket,Yes,No,No,No,Yes
Georgeta McGorman,Yes,Yes,No,Yes,Yes
Ase Thowless,No,No,No,No,No
Sindee Mattiazzo,No,Yes,Yes,No,No
Raeann Elnough,No,No,Yes,Yes,No
Papageno Godden,Yes,Yes,No,Yes,Yes
Quintilla Andersch,Yes,No,No,Yes,Yes
Eberhard Pigott,No,No,No,Yes,Yes
Joachim Irce,No,Yes,Yes,No,No
Iggy Laying,No,No,Yes,Yes,Yes
Laurens Glowacki,Yes,Yes,Yes,No,Yes
Westley Kops,No,No,No,No,Yes
Adan Horsell,No,Yes,Yes,Yes,No
Mollie Lohrensen,Yes,Yes,No,Yes,Yes
Lorna Willock,Yes,Yes,Yes,Yes,Yes
Sophey Eglinton,No,Yes,Yes,No,No
Meta Lefley,Yes,Yes,No,Yes,No
